Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Launch-1716877504948,1,252,252,252,252,252,252,252,0.000%,3.96825,357.04,1.75
Launch-1716877505291,1,298,298,298,298,298,298,298,0.000%,3.35570,198.42,1.50
Launch-1716877505471,1,741,741,741,741,741,741,741,0.000%,1.34953,302.26,0.60
Login-1716877505558,1,266,266,266,266,266,266,266,0.000%,3.75940,4.26,4.06
Launch-1716877505732,1,247,247,247,247,247,247,247,0.000%,4.04858,190.81,1.80
Login-1716877505831,1,273,273,273,273,273,273,273,0.000%,3.66300,5.53,3.96
Launch-1716877505991,1,259,259,259,259,259,259,259,0.000%,3.86100,347.48,1.70
Launch-1716877506256,1,264,264,264,264,264,264,264,0.000%,3.78788,223.92,1.69
Login-1716877506519,1,263,263,263,263,263,263,263,0.000%,3.80228,4.31,4.11
Login-1716877506803,1,283,283,283,283,283,283,283,0.000%,3.53357,5.33,3.82
clickon speakers-1716877507926,1,1047,1047,1047,1047,1047,1047,1047,0.000%,.95511,2.25,0.43
clickon speakers-1716877508405,1,479,479,479,479,479,479,479,0.000%,2.08768,2.01,0.91
clickon speakers-1716877508634,1,229,229,229,229,229,229,229,0.000%,4.36681,4.92,1.77
clickon speakers-1716877508927,1,1033,1033,1033,1033,1033,1033,1033,0.000%,.96805,2.27,0.44
clickon speakers-1716877509319,1,683,683,683,683,683,683,683,0.000%,1.46413,71.68,0.65
clickon speakers-1716877509412,1,486,486,486,486,486,486,486,0.000%,2.05761,1.98,0.90
clickon speakers-1716877509555,1,236,236,236,236,236,236,236,0.000%,4.23729,195.37,1.87
clickon speakers-1716877509647,1,234,234,234,234,234,234,234,0.000%,4.27350,4.82,1.73
clickon speakers-1716877509893,1,1001,1001,1001,1001,1001,1001,1001,0.000%,.99900,2.36,0.45
clickon speakers-1716877510017,1,462,462,462,462,462,462,462,0.000%,2.16450,152.60,0.96
clickon speakers-1716877510272,1,241,241,241,241,241,241,241,0.000%,4.14938,220.65,1.83
clickon speakers-1716877510348,1,702,702,702,702,702,702,702,0.000%,1.42450,69.74,0.63
clickon speakers-1716877510385,1,492,492,492,492,492,492,492,0.000%,2.03252,1.95,0.89
clickon speakers-1716877510519,1,247,247,247,247,247,247,247,0.000%,4.04858,201.19,1.79
clickon speakers-1716877510588,1,239,239,239,239,239,239,239,0.000%,4.18410,192.92,1.85
clickon speakers-1716877510617,1,232,232,232,232,232,232,232,0.000%,4.31034,4.86,1.74
clickon speakers-1716877510776,1,237,237,237,237,237,237,237,0.000%,4.21941,243.98,1.86
clickon speakers-1716877510834,1,244,244,244,244,244,244,244,0.000%,4.09836,288.93,1.81
clickon speakers-1716877510897,1,1010,1010,1010,1010,1010,1010,1010,0.000%,.99010,2.33,0.45
clickon speakers-1716877511037,1,260,260,260,260,260,260,260,0.000%,3.84615,267.60,1.70
clickon speakers,10,3998,3958,4121,4121,4155,3898,4155,0.000%,.01106,4.43,0.05
clickon speakers-1716877511076,1,243,243,243,243,243,243,243,0.000%,4.11523,218.83,1.82
clickon speakers-1716877511322,2,474,245,704,704,704,245,704,0.000%,2.84091,140.15,1.25
clickon speakers-1716877511377,1,479,479,479,479,479,479,479,0.000%,2.08768,2.01,0.91
clickon speakers-1716877511566,1,243,243,243,243,243,243,243,0.000%,4.11523,237.93,1.82
clickon speakers-1716877511557,1,235,235,235,235,235,235,235,0.000%,4.25532,196.21,1.88
Purchase_speakers-1716877511529,1,479,479,479,479,479,479,479,0.000%,2.08768,2.23,0.92
clickon speakers-1716877511611,1,233,233,233,233,233,233,233,0.000%,4.29185,4.84,1.74
clickon speakers-1716877511821,1,241,241,241,241,241,241,241,0.000%,4.14938,292.59,1.83
clickon speakers-1716877511828,1,248,248,248,248,248,248,248,0.000%,4.03226,280.43,1.78
clickon speakers-1716877511879,1,998,998,998,998,998,998,998,0.000%,1.00200,2.35,0.45
clickon speakers-1716877512098,1,277,277,277,277,277,277,277,0.000%,3.61011,191.97,1.59
clickon speakers-1716877512335,1,724,724,724,724,724,724,724,0.000%,1.38122,67.63,0.61
clickon speakers-1716877512338,1,240,240,240,240,240,240,240,0.000%,4.16667,207.06,1.84
Purchase_speakers-1716877512353,1,524,524,524,524,524,524,524,0.000%,1.90840,2.04,0.84
clickon speakers-1716877512435,1,554,554,554,554,554,554,554,0.000%,1.80505,1.73,0.79
clickon speakers-1716877512579,1,244,244,244,244,244,244,244,0.000%,4.09836,188.97,1.81
clickon speakers-1716877512595,1,256,256,256,256,256,256,256,0.000%,3.90625,225.87,1.72
Purchase_speakers-1716877512644,1,1064,1064,1064,1064,1064,1064,1064,0.000%,.93985,9.12,0.42
clickon speakers-1716877512656,1,221,221,221,221,221,221,221,0.000%,4.52489,5.10,1.83
clickon speakers-1716877512827,1,247,247,247,247,247,247,247,0.000%,4.04858,285.52,1.79
clickon speakers-1716877512840,1,246,246,246,246,246,246,246,0.000%,4.06504,282.77,1.79
clickon speakers-1716877513099,1,271,271,271,271,271,271,271,0.000%,3.69004,196.22,1.63
Purchase_speakers-1716877513198,1,554,554,554,554,554,554,554,0.000%,1.80505,4.25,0.79
Purchase_speakers-1716877513269,1,915,915,915,915,915,915,915,0.000%,1.09290,10.58,0.49
clickon speakers-1716877513333,1,676,676,676,676,676,676,676,0.000%,1.47929,72.42,0.65
clickon speakers-1716877513356,1,256,256,256,256,256,256,256,0.000%,3.90625,194.12,1.72
Purchase_speakers-1716877513357,1,516,516,516,516,516,516,516,0.000%,1.93798,2.08,0.85
Purchase_speakers-1716877513428,1,229,229,229,229,229,229,229,0.000%,4.36681,12.02,1.76
clickon speakers-1716877513592,1,259,259,259,259,259,259,259,0.000%,3.86100,178.02,1.70
clickon speakers-1716877513599,1,243,243,243,243,243,243,243,0.000%,4.11523,237.93,1.82
Purchase_speakers-1716877513686,1,257,257,257,257,257,257,257,100.000%,3.89105,1.70,2.45
Purchase_speakers-1716877513815,1,546,546,546,546,546,546,546,0.000%,1.83150,4.30,0.80
clickon speakers-1716877513839,1,245,245,245,245,245,245,245,0.000%,4.08163,287.84,1.80
clickon speakers-1716877513850,1,251,251,251,251,251,251,251,0.000%,3.98406,277.17,1.76
Purchase_speakers-1716877513941,1,255,255,255,255,255,255,255,0.000%,3.92157,7.22,4.29
Purchase_speakers-1716877514049,1,234,234,234,234,234,234,234,0.000%,4.27350,11.76,1.72
clickon speakers-1716877514070,1,231,231,231,231,231,231,231,0.000%,4.32900,230.24,1.91
Purchase_speakers-1716877514196,1,254,254,254,254,254,254,254,0.000%,3.93701,6.98,4.30
Purchase_speakers-1716877514289,1,240,240,240,240,240,240,240,100.000%,4.16667,1.81,2.62
Purchase_speakers-1716877514318,1,962,962,962,962,962,962,962,0.000%,1.03950,10.06,0.47
clickon speakers-1716877514325,1,230,230,230,230,230,230,230,0.000%,4.34783,216.06,1.92
Purchase_speakers-1716877514335,1,486,486,486,486,486,486,486,0.000%,2.05761,2.20,0.91
Purchase_speakers-1716877514430,1,233,233,233,233,233,233,233,100.000%,4.29185,1.81,1.84
Purchase_speakers-1716877514542,1,252,252,252,252,252,252,252,0.000%,3.96825,7.30,4.34
clickon speakers-1716877514577,1,252,252,252,252,252,252,252,0.000%,3.96825,229.43,1.75
Purchase_speakers-1716877514695,1,265,265,265,265,265,265,265,0.000%,3.77358,2.47,2.98
Purchase_speakers-1716877514794,1,252,252,252,252,252,252,252,0.000%,3.96825,7.04,4.33
clickon speakers-1716877514866,1,258,258,258,258,258,258,258,0.000%,3.87597,269.65,1.71
Purchase_speakers-1716877514877,1,558,558,558,558,558,558,558,0.000%,1.79211,4.23,0.78
Purchase_speakers-1716877514943,1,247,247,247,247,247,247,247,0.000%,4.04858,5.08,4.59
Purchase_speakers-1716877515034,1,240,240,240,240,240,240,240,100.000%,4.16667,1.75,1.78
Purchase_speakers-1716877515106,1,228,228,228,228,228,228,228,0.000%,4.38596,12.07,1.77
Purchase_speakers-1716877515172,1,228,228,228,228,228,228,228,0.000%,4.38596,5.88,1.82
Purchase_speakers-1716877515255,1,920,920,920,920,920,920,920,0.000%,1.08696,10.51,0.49
Purchase_speakers-1716877515292,1,258,258,258,258,258,258,258,0.000%,3.87597,2.54,3.06
Purchase_speakers-1716877515331,1,463,463,463,463,463,463,463,0.000%,2.15983,2.31,0.95
Purchase_speakers-1716877515350,1,233,233,233,233,233,233,233,100.000%,4.29185,1.87,2.70
Purchase_speakers-1716877515406,1,235,235,235,235,235,235,235,0.000%,4.25532,20.77,4.18
Purchase_speakers,10,4167,4182,4242,4242,4300,3996,4300,100.000%,.01106,0.31,0.09
Purchase_speakers-1716877515554,1,261,261,261,261,261,261,261,0.000%,3.83142,4.81,4.35
Purchase_speakers-1716877515596,1,245,245,245,245,245,245,245,0.000%,4.08163,7.51,4.47
Payment-1716877515653,1,246,246,246,246,246,246,246,0.000%,4.06504,4.53,5.13
Purchase_speakers-1716877515771,1,516,516,516,516,516,516,516,0.000%,1.93798,4.58,0.84
Purchase_speakers-1716877515788,1,234,234,234,234,234,234,234,0.000%,4.27350,5.73,1.77
Purchase_speakers-1716877515864,1,252,252,252,252,252,252,252,0.000%,3.96825,7.04,4.33
Payment-1716877515910,1,257,257,257,257,257,257,257,100.000%,3.89105,1.63,5.80
Payment,10,523,495,511,511,809,471,809,100.000%,.01111,0.02,0.03
Purchase_speakers-1716877515999,1,228,228,228,228,228,228,228,0.000%,4.38596,12.07,1.77
Purchase_speakers-1716877516031,1,243,243,243,243,243,243,243,0.000%,4.11523,20.11,4.04
Purchase_speakers-1716877516099,1,235,235,235,235,235,235,235,100.000%,4.25532,1.79,1.82
Purchase_speakers-1716877516218,1,887,887,887,887,887,887,887,0.000%,1.12740,10.90,0.51
Purchase_speakers-1716877516248,1,249,249,249,249,249,249,249,100.000%,4.01606,1.75,2.53
Payment-1716877516276,1,245,245,245,245,245,245,245,0.000%,4.08163,4.55,5.15
Purchase_speakers-1716877516380,1,254,254,254,254,254,254,254,0.000%,3.93701,2.58,3.11
Purchase_speakers-1716877516500,1,250,250,250,250,250,250,250,0.000%,4.00000,7.36,4.38
Payment-1716877516518,1,241,241,241,241,241,241,241,100.000%,4.14938,1.76,6.18
Purchase_speakers-1716877516630,1,249,249,249,249,249,249,249,0.000%,4.01606,5.04,4.56
Purchase_speakers-1716877516734,1,515,515,515,515,515,515,515,0.000%,1.94175,4.53,0.85
Purchase_speakers-1716877516769,1,269,269,269,269,269,269,269,0.000%,3.71747,6.59,4.06
Purchase_speakers-1716877516859,1,230,230,230,230,230,230,230,0.000%,4.34783,5.83,1.80
Purchase_speakers-1716877516962,1,227,227,227,227,227,227,227,0.000%,4.40529,12.12,1.78
Purchase_speakers-1716877517000,1,231,231,231,231,231,231,231,100.000%,4.32900,1.82,1.85
