Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
clickon speakers-1716878406122,1,714,714,714,714,714,714,714,0.000%,1.40056,68.57,0.62
clickon speakers-1716878406254,1,493,493,493,493,493,493,493,0.000%,2.02840,1.95,0.88
clickon speakers-1716878406274,1,266,266,266,266,266,266,266,0.000%,3.75940,186.82,1.66
clickon speakers-1716878406383,1,260,260,260,260,260,260,260,0.000%,3.84615,177.34,1.70
clickon speakers-1716878406534,2,268,258,278,278,278,258,278,0.000%,7.19424,212.05,3.04
clickon speakers-1716878406629,1,245,245,245,245,245,245,245,0.000%,4.08163,287.78,1.80
clickon speakers-1716878406787,1,252,252,252,252,252,252,252,0.000%,3.96825,276.07,1.75
clickon speakers-1716878406797,1,1089,1089,1089,1089,1089,1089,1089,0.000%,.91827,2.17,0.41
clickon speakers-1716878406870,1,239,239,239,239,239,239,239,0.000%,4.18410,222.50,1.85
clickon speakers-1716878407116,1,245,245,245,245,245,245,245,0.000%,4.08163,202.83,1.80
Purchase_speakers-1716878407269,1,481,481,481,481,481,481,481,0.000%,2.07900,2.23,0.92
clickon speakers-1716878407288,1,489,489,489,489,489,489,489,0.000%,2.04499,1.97,0.89
clickon speakers-1716878407297,1,762,762,762,762,762,762,762,0.000%,1.31234,64.25,0.58
clickon speakers-1716878407375,1,257,257,257,257,257,257,257,0.000%,3.89105,224.97,1.72
clickon speakers-1716878407543,1,254,254,254,254,254,254,254,0.000%,3.93701,4.44,1.59
clickon speakers-1716878407561,1,262,262,262,262,262,262,262,0.000%,3.81679,176.01,1.68
clickon speakers-1716878407620,1,244,244,244,244,244,244,244,0.000%,4.09836,285.03,1.81
clickon speakers-1716878407715,1,1008,1008,1008,1008,1008,1008,1008,0.000%,.99206,2.33,0.45
clickon speakers-1716878407816,1,255,255,255,255,255,255,255,0.000%,3.92157,276.50,1.73
clickon speakers-1716878408068,1,252,252,252,252,252,252,252,0.000%,3.96825,210.96,1.75
Purchase_speakers-1716878408088,1,467,467,467,467,467,467,467,0.000%,2.14133,2.29,0.94
Purchase_speakers-1716878408153,1,882,882,882,882,882,882,882,0.000%,1.13379,10.97,0.51
clickon speakers-1716878408199,1,483,483,483,483,483,483,483,0.000%,2.07039,1.99,0.90
clickon speakers-1716878408245,1,701,701,701,701,701,701,701,0.000%,1.42653,69.84,0.63
clickon speakers-1716878408320,1,252,252,252,252,252,252,252,0.000%,3.96825,197.23,1.75
clickon speakers-1716878408438,1,238,238,238,238,238,238,238,0.000%,4.20168,4.74,1.70
clickon speakers-1716878408487,1,240,240,240,240,240,240,240,0.000%,4.16667,192.12,1.84
clickon speakers-1716878408586,1,264,264,264,264,264,264,264,0.000%,3.78788,219.00,1.67
Purchase_speakers-1716878408693,1,539,539,539,539,539,539,539,0.000%,1.85529,4.35,0.81
clickon speakers-1716878408743,1,255,255,255,255,255,255,255,0.000%,3.92157,276.55,1.73
clickon speakers-1716878408872,1,285,285,285,285,285,285,285,0.000%,3.50877,244.08,1.55
Purchase_speakers-1716878408934,1,241,241,241,241,241,241,241,0.000%,4.14938,11.42,1.67
Purchase_speakers-1716878408942,1,853,853,853,853,853,853,853,0.000%,1.17233,11.39,0.53
clickon speakers-1716878409009,1,265,265,265,265,265,265,265,0.000%,3.77358,200.67,1.67
clickon speakers-1716878409153,1,714,714,714,714,714,714,714,0.000%,1.40056,68.57,0.62
Purchase_speakers-1716878409197,1,259,259,259,259,259,259,259,100.000%,3.86100,1.69,2.43
clickon speakers-1716878409259,1,249,249,249,249,249,249,249,0.000%,4.01606,199.58,1.77
Purchase_speakers-1716878409349,1,476,476,476,476,476,476,476,0.000%,2.10084,2.25,0.93
clickon speakers-1716878409412,1,258,258,258,258,258,258,258,0.000%,3.87597,178.71,1.71
Purchase_speakers-1716878409450,1,251,251,251,251,251,251,251,0.000%,3.98406,7.33,4.36
Purchase_speakers-1716878409464,1,521,521,521,521,521,521,521,0.000%,1.91939,4.51,0.84
clickon speakers-1716878409501,1,242,242,242,242,242,242,242,0.000%,4.13223,238.91,1.82
clickon speakers-1716878409677,1,262,262,262,262,262,262,262,0.000%,3.81679,269.08,1.68
Purchase_speakers-1716878409692,1,227,227,227,227,227,227,227,0.000%,4.40529,12.12,1.78
Purchase_speakers-1716878409705,1,254,254,254,254,254,254,254,0.000%,3.93701,6.98,4.30
clickon speakers-1716878409746,1,245,245,245,245,245,245,245,0.000%,4.08163,283.96,1.80
clickon speakers-1716878409924,1,247,247,247,247,247,247,247,0.000%,4.04858,215.29,1.79
Purchase_speakers-1716878409937,1,244,244,244,244,244,244,244,100.000%,4.09836,1.79,2.58
Purchase_speakers-1716878409961,1,256,256,256,256,256,256,256,100.000%,3.90625,1.64,1.67
Purchase_speakers-1716878410195,1,257,257,257,257,257,257,257,0.000%,3.89105,7.16,4.26
clickon speakers-1716878410197,1,273,273,273,273,273,273,273,0.000%,3.66300,182.03,1.62
Purchase_speakers-1716878410235,2,379,272,487,487,487,272,487,0.000%,4.10678,3.54,2.53
Purchase_speakers-1716878410271,1,920,920,920,920,920,920,920,0.000%,1.08696,10.53,0.49
Purchase_speakers-1716878410451,1,256,256,256,256,256,256,256,0.000%,3.90625,6.93,4.26
clickon speakers-1716878410455,1,255,255,255,255,255,255,255,0.000%,3.92157,226.73,1.73
Purchase_speakers-1716878410510,1,273,273,273,273,273,273,273,0.000%,3.66300,4.60,4.16
Purchase_speakers-1716878410687,1,234,234,234,234,234,234,234,100.000%,4.27350,1.80,1.83
clickon speakers-1716878410705,1,250,250,250,250,250,250,250,0.000%,4.00000,278.19,1.77
Purchase_speakers-1716878410747,1,236,236,236,236,236,236,236,0.000%,4.23729,5.68,1.75
Purchase_speakers-1716878410819,1,548,548,548,548,548,548,548,0.000%,1.82482,4.30,0.79
Purchase_speakers-1716878410954,1,266,266,266,266,266,266,266,0.000%,3.75940,2.46,2.97
Purchase_speakers-1716878410986,1,238,238,238,238,238,238,238,0.000%,4.20168,20.53,4.12
Purchase_speakers-1716878411061,1,240,240,240,240,240,240,240,0.000%,4.16667,11.47,1.68
Purchase_speakers-1716878411150,1,913,913,913,913,913,913,913,0.000%,1.09529,10.58,0.49
Purchase_speakers-1716878411200,1,494,494,494,494,494,494,494,0.000%,2.02429,2.17,0.89
Purchase_speakers-1716878411208,1,252,252,252,252,252,252,252,0.000%,3.96825,4.98,4.50
Payment-1716878411235,1,247,247,247,247,247,247,247,0.000%,4.04858,4.52,5.11
Purchase_speakers-1716878411316,1,255,255,255,255,255,255,255,100.000%,3.92157,1.71,2.47
Purchase_speakers-1716878411437,1,229,229,229,229,229,229,229,0.000%,4.36681,5.85,1.81
Payment-1716878411486,1,250,250,250,250,250,250,250,100.000%,4.00000,1.70,5.96
Purchase_speakers-1716878411576,1,260,260,260,260,260,260,260,0.000%,3.84615,7.08,4.21
Purchase_speakers-1716878411671,1,234,234,234,234,234,234,234,0.000%,4.27350,20.88,4.19
Purchase_speakers-1716878411699,1,548,548,548,548,548,548,548,0.000%,1.82482,4.28,0.79
Purchase_speakers-1716878411838,1,260,260,260,260,260,260,260,0.000%,3.84615,6.82,4.20
Payment-1716878411928,1,255,255,255,255,255,255,255,0.000%,3.92157,4.37,4.95
Purchase_speakers-1716878411933,1,233,233,233,233,233,233,233,0.000%,4.29185,11.81,1.73
Purchase_speakers-1716878412100,1,899,899,899,899,899,899,899,0.000%,1.11235,10.79,0.50
Purchase_speakers-1716878412102,1,263,263,263,263,263,263,263,100.000%,3.80228,1.60,1.63
Purchase_speakers-1716878412172,1,238,238,238,238,238,238,238,100.000%,4.20168,1.83,2.65
Payment-1716878412182,1,253,253,253,253,253,253,253,100.000%,3.95257,1.66,5.89
Purchase_speakers-1716878412372,1,269,269,269,269,269,269,269,0.000%,3.71747,2.43,2.94
Purchase_speakers-1716878412426,1,254,254,254,254,254,254,254,0.000%,3.93701,7.25,4.31
Purchase_speakers-1716878412635,1,262,262,262,262,262,262,262,0.000%,3.81679,4.79,4.33
Purchase_speakers-1716878412666,1,565,565,565,565,565,565,565,0.000%,1.76991,4.18,0.77
Purchase_speakers-1716878412687,1,258,258,258,258,258,258,258,0.000%,3.87597,6.87,4.23
Purchase_speakers-1716878412878,1,242,242,242,242,242,242,242,0.000%,4.13223,5.54,1.71
Purchase_speakers-1716878412904,1,237,237,237,237,237,237,237,0.000%,4.21941,11.61,1.70
Purchase_speakers-1716878412928,1,241,241,241,241,241,241,241,100.000%,4.14938,1.75,1.77
Purchase_speakers-1716878413126,1,247,247,247,247,247,247,247,0.000%,4.04858,19.76,3.97
Purchase_speakers-1716878413155,1,250,250,250,250,250,250,250,100.000%,4.00000,1.74,2.52
Purchase_speakers-1716878413188,1,258,258,258,258,258,258,258,0.000%,3.87597,2.54,3.06
Payment-1716878413380,1,253,253,253,253,253,253,253,0.000%,3.95257,4.41,4.99
Purchase_speakers-1716878413412,1,256,256,256,256,256,256,256,0.000%,3.90625,7.19,4.28
Purchase_speakers-1716878413440,1,253,253,253,253,253,253,253,0.000%,3.95257,4.96,4.49
Purchase_speakers-1716878413674,2,247,232,262,262,262,232,262,0.000%,7.63359,11.88,5.75
Purchase_speakers-1716878413914,1,239,239,239,239,239,239,239,0.000%,4.18410,20.42,4.11
Purchase_speakers-1716878413916,1,242,242,242,242,242,242,242,100.000%,4.13223,1.74,1.77
Payment-1716878413936,1,556,556,556,556,556,556,556,100.000%,1.79856,0.76,2.68
Payment-1716878414160,1,244,244,244,244,244,244,244,0.000%,4.09836,4.57,5.17
Purchase_speakers-1716878414186,1,267,267,267,267,267,267,267,0.000%,3.74532,2.45,2.96
Payment-1716878414398,1,238,238,238,238,238,238,238,100.000%,4.20168,1.78,6.26
Purchase_speakers-1716878414442,1,256,256,256,256,256,256,256,0.000%,3.90625,4.90,4.43
Purchase_speakers-1716878414679,1,238,238,238,238,238,238,238,0.000%,4.20168,5.63,1.74
Purchase_speakers-1716878414928,1,248,248,248,248,248,248,248,0.000%,4.03226,19.70,3.96
Payment-1716878415180,1,251,251,251,251,251,251,251,0.000%,3.98406,4.44,5.03
Payment-1716878415426,1,244,244,244,244,244,244,244,100.000%,4.09836,1.72,6.11
Logout-1716878416201,1,766,766,766,766,766,766,766,0.000%,1.30548,1.46,1.42
Logout-1716878417231,1,795,795,795,795,795,795,795,0.000%,1.25786,1.41,1.37
Logout-1716878418198,1,765,765,765,765,765,765,765,0.000%,1.30719,1.47,1.43
Logout-1716878419185,1,753,753,753,753,753,753,753,0.000%,1.32802,1.49,1.45
Logout-1716878420205,1,772,772,772,772,772,772,772,0.000%,1.29534,1.45,1.41
TOTAL,480,649,267,899,3988,5486,220,5991,10.417%,.51979,20.37,0.55
