Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
search-1716880157202,1,259,259,259,259,259,259,259,0.000%,3.86100,146.90,1.70
search-1716880157265,1,280,280,280,280,280,280,280,0.000%,3.57143,5.39,3.86
search-1716880157431,1,225,225,225,225,225,225,225,0.000%,4.44444,5.02,1.85
search-1716880157580,1,312,312,312,312,312,312,312,0.000%,3.20513,1.70,1.70
search-1716880157713,1,274,274,274,274,274,274,274,0.000%,3.64964,5.51,3.95
search-1716880157823,1,250,250,250,250,250,250,250,0.000%,4.00000,243.73,1.77
search-1716880157999,1,290,290,290,290,290,290,290,0.000%,3.44828,2.09,1.83
search-1716880158081,1,244,244,244,244,244,244,244,0.000%,4.09836,196.80,1.81
search-1716880158235,1,237,237,237,237,237,237,237,0.000%,4.21941,257.16,1.86
logout-1716880158360,1,283,283,283,283,283,283,283,0.000%,3.53357,3.96,3.85
search-1716880158481,1,238,238,238,238,238,238,238,0.000%,4.20168,201.73,1.85
logout-1716880158754,1,274,274,274,274,274,274,274,0.000%,3.64964,4.10,3.98
TOTAL,185,688,284,895,2340,9570,225,9670,0.000%,11.32052,373.37,10.54
